,name,eic_code,lat,lon
0,AL-1,,52.38811,5.2154
1,AL-2,,52.38811,5.2154
2,Amercentrale (A8),49W000000000070Z,51.70838,4.84381
3,Amercentrale (A9),49W000000000070Z,51.70838,4.84381
4,Amylum,,52.46552,4.81361
5,BOZ,,51.50555,4.33998
6,Borssele 30,49W000000000054X,51.43148,3.71871
7,CUIJK,,51.75381,5.8528
8,Centrale Bergum (CB10),,53.20975,6.02959
9,Centrale Bergum (CB20),,53.20975,6.02959
10,Centrale Diemen (DM33),49W0000000000431,52.33898,5.02134
11,Centrale Diemen (DM34),49W0000000000431,52.33898,5.02134
12,Centrale Galileistraat (FG1),,51.91025,4.42608
13,Centrale Gelderland (CG13),49W000000000076N,51.85607,5.83043
14,Centrale Harculo (HC60),,52.46907,6.10767
15,Centrale Hemweg (HW-7),49W000000000045Y,52.40537,4.84482
16,Centrale Hemweg (HW-8),49W000000000045Y,52.40537,4.84482
17,Centrale Hemweg (HW-9),49W000000000045Y,52.40537,4.84482
18,Centrale IJmond,,52.47155,4.63473
19,Centrale Lage Weide,49W000000000047U,52.10292,5.07137
20,Centrale Maasvlakte (MV1),49W000000000101D,51.96262,4.02152
21,Centrale Maasvlakte (MV2),49W000000000100F,51.96262,4.02152
22,Centrale Maasvlakte (MV3),49W000000000102B,51.96262,4.02152
23,Centrale Merwedekanaal,,52.10156,5.07981
24,Centrale RoCa (RoCa3),49W0000000001047,51.95366,4.56155
25,Centrale Swentibold,49W000000000061-,50.97971,5.80891
26,Centrale Velsen (VN24),49W000000000046W,52.47155,4.63473
27,Centrale Velsen (VN25),49W000000000046W,52.47155,4.63473
28,Clauscentrale (A),49W000000000069K,51.15409,5.90803
29,Clauscentrale (C1),49W000000000069K,51.15409,5.90803
30,Clauscentrale (C2),49W000000000069K,51.15409,5.90803
31,Clauscentrale (C3),49W000000000069K,51.15409,5.90803
32,Clauscentrale (C4),49W000000000069K,51.15409,5.90803
33,Delesto (Del1),,53.31953,6.94811
34,Delesto (Del2),,53.31953,6.94811
35,Dongecentrale,,51.695,4.84652
36,EDH,49W0000000000342,52.07659,4.29065
37,EHV,,51.44944,5.45296
38,ELSTA,49W000000000048S,51.33319,3.78947
39,ENSCH,,52.21397,6.82872
40,ERICA,,52.69632,6.91411
41,Eemscentrale (EC20),49W000000000096H,53.43949,6.86165
42,Eemscentrale (EC3),49W000000000088G,53.43949,6.86165
43,Eemscentrale (EC4),49W000000000086K,53.43949,6.86165
44,Eemscentrale (EC5),49W000000000084O,53.43949,6.86165
45,Eemscentrale (EC6),49W000000000082S,53.43949,6.86165
46,Eemscentrale (EC7),49W000000000080W,53.43949,6.86165
47,Enecogen,49W000000000058P,51.95783,4.09246
48,HM12,,51.46341,5.68837
49,HTB,,51.70164,5.28009
50,KLAZI,,52.73792,7.01368
51,LD12,,52.16385,4.49419
52,LWE5,,52.10292,5.07137
53,MK11,49W000000000091R,52.10157,5.07982
54,MVL380 Centrale Rotterdam 1,49W000000000078J,51.94496,4.06767
55,Magnum Centrale (10),49W000000000044-,53.45149,6.85268
56,Magnum Centrale (20),49W000000000044-,53.45149,6.85268
57,Magnum Centrale (30),49W000000000044-,53.45149,6.85268
58,Maxima Centrale (FL30),,52.57753,5.52959
59,Maxima Centrale (FL4),49W000000000072V,52.57753,5.52959
60,Maxima Centrale (FL5),49W000000000074R,52.57753,5.52959
61,Moerdijk 1,49W000000000063W,51.68506,4.58094
62,Moerdijk 2,49W000000000063W,51.68506,4.58094
63,PU-1,,52.51608,4.99524
64,Pergen 1,49W000000000092P,51.87951,4.33828
65,Pergen 2,49W000000000094L,51.87951,4.33828
66,ROC1,,51.95369,4.5616
67,ROC2,,51.95369,4.5616
68,Rijnmond I,49W000000000056T,51.89326,4.34721
69,Rijnmond II,49W000000000108-,51.89326,4.34721
70,SAL,,52.24587,6.79479
71,Sloecentrale (unit 10),49W0000000000512,51.44796,3.69252
72,Sloecentrale (unit 20),49W0000000000512,51.44796,3.69252
73,UCML,,51.95861,4.02609
74,Willem Alexander Centrale,,51.22402,5.97085
75,corus,,52.47708,4.58981
